cnag_id	organism	gene_product	transcript_product	location	length	sequence_SO	SO	is_pseudo	variant
>CNAG_00064-t26_1	Cryptococcus_neoformans_var._grubii_H99	COPII-coated vesicle protein	COPII-coated vesicle protein	CP003820.1:176043-177035(-)	843	chromosome	protein_coding	FALSE	t26_1
>CNAG_00065-t26_1	Cryptococcus_neoformans_var._grubii_H99	ran-binding protein 1	ran-binding protein 1	CP003820.1:177527-178845(+)	1245	chromosome	protein_coding	FALSE	t26_1
>CNAG_00066-t26_1	Cryptococcus_neoformans_var._grubii_H99	membrane protein	membrane protein	CP003820.1:179414-183359(-)	4719	chromosome	protein_coding	FALSE	t26_1
>CNAG_00067-t26_1	Cryptococcus_neoformans_var._grubii_H99	protein translocase SEC61 complex gamma subunit	protein translocase SEC61 complex gamma subunit	CP003820.1:184125-184932(+)	1683	chromosome	protein_coding	FALSE	t26_1
>CNAG_00068-t26_1	Cryptococcus_neoformans_var._grubii_H99	specific RNA polymerase II transcription factor	specific RNA polymerase II transcription factor	CP003820.1:189541-192076(+)	3129	chromosome	protein_coding	FALSE	t26_1
>CNAG_00069-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:192776-193729(+)	1260	chromosome	protein_coding	FALSE	t26_1
>CNAG_00070-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:195355-197337(+)	2918	chromosome	protein_coding	FALSE	t26_1
>CNAG_00072-t26_1	Cryptococcus_neoformans_var._grubii_H99	protein disulfide-isomerase	protein disulfide-isomerase	CP003820.1:199238-201107(+)	1379	chromosome	protein_coding	FALSE	t26_1
>CNAG_00073-t26_1	Cryptococcus_neoformans_var._grubii_H99	nuclear mRNA splicing protein	nuclear mRNA splicing protein	CP003820.1:201593-204477(-)	3646	chromosome	protein_coding	FALSE	t26_1
>CNAG_00074-t26_1	Cryptococcus_neoformans_var._grubii_H99	protein PNS1	protein PNS1	CP003820.1:205680-208220(+)	2048	chromosome	protein_coding	FALSE	t26_1
>CNAG_00075-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:208635-209249(-)	883	chromosome	protein_coding	FALSE	t26_1
>CNAG_00076-t26_1	Cryptococcus_neoformans_var._grubii_H99	A/G-specific adenine glycosylase	A/G-specific adenine glycosylase	CP003820.1:209617-211921(+)	1930	chromosome	protein_coding	FALSE	t26_1
>CNAG_00077-t26_1	Cryptococcus_neoformans_var._grubii_H99	solute carrier family 26 (sodium-independent sulfate anion transporter), member 11	solute carrier family 26 (sodium-independent sulfate anion transporter), member 11	CP003820.1:213664-216292(+)	2944	chromosome	protein_coding	FALSE	t26_1
>CNAG_00078-t26_1	Cryptococcus_neoformans_var._grubii_H99	vacuolar protein	vacuolar protein	CP003820.1:217128-221286(+)	4061	chromosome	protein_coding	FALSE	t26_1
>CNAG_00079-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:223667-224474(+)	1452	chromosome	protein_coding	FALSE	t26_1
>CNAG_00080-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:225551-227173(-)	1816	chromosome	protein_coding	FALSE	t26_1
>CNAG_00081-t26_1	Cryptococcus_neoformans_var._grubii_H99	pre-mRNA-processing factor 6	pre-mRNA-processing factor 6	CP003820.1:227666-230931(-)	2951	chromosome	protein_coding	FALSE	t26_1
>CNAG_00082-t26_1	Cryptococcus_neoformans_var._grubii_H99	cytosolic Fe-S cluster assembly factor CFD1	cytosolic Fe-S cluster assembly factor CFD1	CP003820.1:231172-232271(+)	1158	chromosome	protein_coding	FALSE	t26_1
>CNAG_00083-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:232495-235528(-)	3214	chromosome	protein_coding	FALSE	t26_1
>CNAG_00084-t26_1	Cryptococcus_neoformans_var._grubii_H99	glutamine-tRNA ligase	glutamine-tRNA ligase	CP003820.1:236469-239638(+)	3711	chromosome	protein_coding	FALSE	t26_1
>CNAG_00085-t26_1	Cryptococcus_neoformans_var._grubii_H99	histone chaperone ASF1	histone chaperone ASF1	CP003820.1:239847-240801(-)	804	chromosome	protein_coding	FALSE	t26_1
>CNAG_00086-t26_1	Cryptococcus_neoformans_var._grubii_H99	N2,N2-dimethylguanosine tRNA methyltransferase	N2,N2-dimethylguanosine tRNA methyltransferase	CP003820.1:241070-243341(+)	2202	chromosome	protein_coding	FALSE	t26_1
>CNAG_00087-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:243899-246004(-)	2748	chromosome	protein_coding	FALSE	t26_1
>CNAG_00088-t26_1	Cryptococcus_neoformans_var._grubii_H99	prohibitin PHB1	prohibitin PHB1	CP003820.1:246560-247967(-)	1096	chromosome	protein_coding	FALSE	t26_1
>CNAG_00089-t26_1	Cryptococcus_neoformans_var._grubii_H99	exosome complex component RRP4	exosome complex component RRP4	CP003820.1:248275-249563(-)	1202	chromosome	protein_coding	FALSE	t26_1
>CNAG_00090-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein, hypothetical protein, variant	hypothetical protein	CP003820.1:249912-251676(+)	1692	chromosome	protein_coding	FALSE	t26_1
>CNAG_00090-t26_2	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein, hypothetical protein, variant	hypothetical protein, variant	CP003820.1:249912-251676(+)	1635	chromosome	protein_coding	FALSE	t26_2
>CNAG_00091-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:253478-255301(+)	2037	chromosome	protein_coding	FALSE	t26_1
>CNAG_00092-t26_1	Cryptococcus_neoformans_var._grubii_H99	mitochondrial protein	mitochondrial protein	CP003820.1:256069-256590(+)	749	chromosome	protein_coding	FALSE	t26_1
>CNAG_00093-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:256916-259695(-)	2523	chromosome	protein_coding	FALSE	t26_1
>CNAG_00094-t26_1	Cryptococcus_neoformans_var._grubii_H99	NAD-dependent epimerase/dehydratase	NAD-dependent epimerase/dehydratase	CP003820.1:261285-262588(+)	5296	chromosome	protein_coding	FALSE	t26_1
>CNAG_00095-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:262739-266546(-)	3635	chromosome	protein_coding	FALSE	t26_1
>CNAG_00096-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:266961-268587(+)	2751	chromosome	protein_coding	FALSE	t26_1
>CNAG_00097-t26_1	Cryptococcus_neoformans_var._grubii_H99	myo-inositol transporter, putative	myo-inositol transporter, putative	CP003820.1:268906-271370(-)	2130	chromosome	protein_coding	FALSE	t26_1
>CNAG_00098-t26_1	Cryptococcus_neoformans_var._grubii_H99	palmitoyl-protein thioesterase	palmitoyl-protein thioesterase	CP003820.1:273829-275038(+)	2838	chromosome	protein_coding	FALSE	t26_1
>CNAG_00099-t26_1	Cryptococcus_neoformans_var._grubii_H99	minichromosome maintenance protein 3	minichromosome maintenance protein 3	CP003820.1:275157-278008(-)	2831	chromosome	protein_coding	FALSE	t26_1
>CNAG_00100-t26_1	Cryptococcus_neoformans_var._grubii_H99	stress-induced-phosphoprotein 1	stress-induced-phosphoprotein 1	CP003820.1:278264-280321(+)	1932	chromosome	protein_coding	FALSE	t26_1
>CNAG_00101-t26_1	Cryptococcus_neoformans_var._grubii_H99	Inositolphosphorylceramide synthase subunit Kei1 domain-containing protein	Inositolphosphorylceramide synthase subunit Kei1 domain-containing protein	CP003820.1:280893-281839(-)	1140	chromosome	protein_coding	FALSE	t26_1
>CNAG_00104-t26_1	Cryptococcus_neoformans_var._grubii_H99	elongation factor 3	elongation factor 3	CP003820.1:285901-289440(+)	3787	chromosome	protein_coding	FALSE	t26_1
>CNAG_00105-t26_1	Cryptococcus_neoformans_var._grubii_H99	pyridoxal reductase	pyridoxal reductase	CP003820.1:289772-291138(-)	965	chromosome	protein_coding	FALSE	t26_1
>CNAG_00106-t26_1	Cryptococcus_neoformans_var._grubii_H99	Two-component-like sensor kinase	Two-component-like sensor kinase	CP003820.1:292159-296404(-)	4443	chromosome	protein_coding	FALSE	t26_1
>CNAG_00107-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:297451-299293(+)	1890	chromosome	protein_coding	FALSE	t26_1
>CNAG_00108-t26_1	Cryptococcus_neoformans_var._grubii_H99	RuvB-like helicase 1	RuvB-like helicase 1	CP003820.1:299388-300947(-)	1688	chromosome	protein_coding	FALSE	t26_1
>CNAG_00109-t26_1	Cryptococcus_neoformans_var._grubii_H99	large subunit ribosomal protein L34, large subunit ribosomal protein L34, variant	large subunit ribosomal protein L34	CP003820.1:301258-301647(+)	1366	chromosome	protein_coding	FALSE	t26_1
>CNAG_00109-t26_2	Cryptococcus_neoformans_var._grubii_H99	large subunit ribosomal protein L34, large subunit ribosomal protein L34, variant	large subunit ribosomal protein L34, variant	CP003820.1:301258-301647(+)	1219	chromosome	protein_coding	FALSE	t26_2
>CNAG_00110-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:301890-304135(-)	2127	chromosome	protein_coding	FALSE	t26_1
>CNAG_00111-t26_1	Cryptococcus_neoformans_var._grubii_H99	splicing factor 3A subunit 1	splicing factor 3A subunit 1	CP003820.1:304331-306761(+)	2367	chromosome	protein_coding	FALSE	t26_1
>CNAG_00115-t26_1	Cryptococcus_neoformans_var._grubii_H99	chlorophyll synthesis pathway protein BchC	chlorophyll synthesis pathway protein BchC	CP003820.1:312397-313780(-)	1403	chromosome	protein_coding	FALSE	t26_1
>CNAG_00116-t26_1	Cryptococcus_neoformans_var._grubii_H99	small subunit ribosomal protein S3	small subunit ribosomal protein S3	CP003820.1:315063-315998(+)	1629	chromosome	protein_coding	FALSE	t26_1
>CNAG_00117-t26_1	Cryptococcus_neoformans_var._grubii_H99	c-14 sterol reductase	c-14 sterol reductase	CP003820.1:316825-318851(-)	1849	chromosome	protein_coding	FALSE	t26_1
>CNAG_00118-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:319109-319753(-)	1041	chromosome	protein_coding	FALSE	t26_1
>CNAG_00119-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:319922-320592(+)	798	chromosome	protein_coding	FALSE	t26_1
>CNAG_00120-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:320757-321743(-)	1127	chromosome	protein_coding	FALSE	t26_1
>CNAG_00121-t26_1	Cryptococcus_neoformans_var._grubii_H99	glycerol-3-phosphate dehydrogenase (NAD())	glycerol-3-phosphate dehydrogenase (NAD())	CP003820.1:322145-323820(-)	1540	chromosome	protein_coding	FALSE	t26_1
>CNAG_00122-t26_1	Cryptococcus_neoformans_var._grubii_H99	Alpha-amylase	Alpha-amylase	CP003820.1:324829-326898(-)	2947	chromosome	protein_coding	FALSE	t26_1
>CNAG_00123-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:329030-330136(-)	1247	chromosome	protein_coding	FALSE	t26_1
>CNAG_00124-t26_1	Cryptococcus_neoformans_var._grubii_H99	Capsule structure designer protein	Capsule structure designer protein	CP003820.1:330810-332816(+)	2133	chromosome	protein_coding	FALSE	t26_1
>CNAG_00125-t26_1	Cryptococcus_neoformans_var._grubii_H99	Putative regulator of G-protein signaling protein	Putative regulator of G-protein signaling protein	CP003820.1:335372-337716(+)	3444	chromosome	protein_coding	FALSE	t26_1
>CNAG_00126-t26_1	Cryptococcus_neoformans_var._grubii_H99	2-deoxy-D-gluconate 3-dehydrogenase	2-deoxy-D-gluconate 3-dehydrogenase	CP003820.1:338239-339303(-)	1308	chromosome	protein_coding	FALSE	t26_1
>CNAG_00127-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:341632-343375(-)	2302	chromosome	protein_coding	FALSE	t26_1
>CNAG_00128-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:345835-349644(+)	3691	chromosome	protein_coding	FALSE	t26_1
>CNAG_00129-t26_1	Cryptococcus_neoformans_var._grubii_H99	hypothetical protein	hypothetical protein	CP003820.1:350879-352471(+)	1886	chromosome	protein_coding	FALSE	t26_1
>CNAG_00130-t26_1	Cryptococcus_neoformans_var._grubii_H99	CAMK/CAMK1/CAMK1-RCK protein kinase	CAMK/CAMK1/CAMK1-RCK protein kinase	CP003820.1:354645-357920(+)	3507	chromosome	protein_coding	FALSE	t26_1
